No,Brand,Nomor Permohonan,Tahun Permohonan,Status,Kode Kelas,Deskripsi Kelas
1,COLORFORWARD,D002007003410,2007,Didaftar,9,Pembawa data optik dan magnetik
2,TERREL,D002007003412,2007,Didaftar,5,"Catatan :, Didaftar berdasarkan Putusan Pengadilan Niaga Jakarta Pusat Nomor : 38/Merek/2011/PNNiagaJktPstTanggal 21 Juli 2011, Obat bius inhalasi, yaitu, Isoflurane"
3,KABARU + LOGO,D002007003415,2007,Didaftar,7,", rnesin pengolah tembakau, peralatan (bagian-bagian mesin), (mangkuk penyedot) untuk mesin perah SuSu, alat angkut truk, alat anti polusi untuk mesin dan motor, alat licin, mesin pemilah untuk industri, alat pangkas rambut (mesin), alat pegangan untuk mesin perkakas, alat pelicin, alat pemanasan uap lanjut, alat pembentuk gas, alat pembor tambang, alat pembuangan untuk motor, alat pemecah atau penggiling, alat pemeras, alat pemeras angur, alat pemisah padi-padian, alat pemisah tangkai (mesinnmcsin), alat pemompa (mesin untuk keperluan industri), alat penakik mesin perkakas, alat penambang batu bara/ bijih dari cebatanya, alat penampung dan pengumpul rumput (mesin), alat penekan tipografi, alat pengangkat mesin, alat pengangkut (pertambangan), alat pengangkut pneumatik, alat pengebor tambang, alat pengembus tungku pandai besi, alat pengempa makanan ternak, alat penggali (mesin), alat penggiling daging (mesin), alat penggiling/pelumat dari listrik, untuk keperluan rumah tangga, alat penghancur (mesin untuk industri), alat penghancur sampah, alat pengikat untuk jerami, alat pengisi karburator, penutup, silinder utama bagian dari mesin, alat pengolah makanan (listrik), alat pengubah bahan bakar untuk mesin pembakaran didalam, alat penurun tekanan (bagian-bagian mesin), trunsmisi pcngurang kecepatan selain untuk kendaraan darat, alat penyala untuk motor pembakar dalam, alat penyampur, alat penyemprot (mesin), alat saluran pengisian untuk ketel uap lokomotif, alat tenun, alat untuk buka-tutup tirai, alat untuk menaikan, alat untuk menghilangkan udara/ gas untuk air pengisi ketel, pengawallemak (mesin), alat yang dipegang tangan dioperasikan secara mekanis, alat-alat pelayanan bongkar muat barang, alat-alat pemolong daging (mesin), alat-alat yang digenggam dioperasikan secara mekanis, aparat kompersi bahan bakar untuk motor dalam transpormator untuk pekerjaan baja, aparat pembersih asetilen, mesin pembersih, apr on (bagian mesin), as alat tenun, bagian-bagian rem selain untuk kendaran, bahan-bahan pemisah, bahan-bahan pemisah uap/ minyak, baja penghilang tanah berumput, bajak-bajak, bak roda gigi selain untuk kendaraan darat, bak untuk mesin dan motor engkol (suku cadang mesin), ban kerek, ban transpor (mesin), bangku gergaji (bagian mesin), bantalan golong, bantalan untuk poros transmisi, batang pcnggerak untuk mesin, batu giling, bensin: minyak tanah, besi bor (bagian mesin), blok bantalan antifriksi untuk mesin, blok bantalan pelumas otomatis, blok bantalan poros (bagian mesin), blok-pancang (mesin), Bor listrik, serutan listrik, gergaji listrik, gerinda listrik, mesin perkakas, motor-motor dan mesin-mesin (kecuali untuk kendaraan darat), kopling mesin dan komponen transmisi (kecuali untuk kendaraan darat), perkakas pertanian, mesin meneteskan untuk telur, alat pembersih asetilin, rekatan untuk katrol, mesin otomatis pita perekat (mesin), mesin pembuat minuman soda, aparat pembuat air soda, pompa pengatur gas udara akuarium, alat pengisi udara, mesin-mesin penerbangan, mesin pesawat udara, alat pemutar/ pengaduk, silo untuk hasil pertanian, peralatan untuk pertanian selain yang dikerjakan dengan tangan, mesin-mesin pertanian, kondensator udara, alat berupa bantalan angin untuk-memindahkan barang muatan, (bagian dari mesin), bor-bor tangan dengan listrik, borstel (bagian dari mesin), buldoser, mesin pembuat mentega, alat pelicin pakaian, pembuaka kaleng, mesin penggulung tali sauh, busi pcnyala untuk motor, busi pijar untuk mesin diesel, cakra sabuk mesin (bagian-bagian mesin), pita perekat untuk puli, alat pengabut (mesin), penghancur kotoran, canal penyilak, cetakan tuang untuk digunakan dalam mencetak, cincin pcluru untuk untuk blok bantalan, cincin pelumas, corong isi (penyalur secara mekanis), dan mesin, dan suku cadangnya, dapat dipindah-pindah untuk bahan kain, dapat dipindahpindah, daun gergaji (bagian mesin), derek, derek (alat pengangkat), desintegrator, diafrakma pompa, dijalankan dengan listrik, dinamo arus tukar, dongkrak, ejektor, elektromekanik, escalator, filter (suku cadang mesin atau motor), filter untuk membersihkan udara pendingin (untuk mesin-mesin), gagang pahat (bagian-bagian mesin), garu untuk mesin penggaruk sampah, gelang pelumas, gelendong untuk alat penenun, gelendong, mekanis, gelondong untuk mesin penenunan mesin kolektor terak ketel, generator arus listrik, gentara, gergaji (mesin), gilingan kopi selain yang dijalankan dengan tangan, gilingan lada selain yang dijalankan dengan tangan, gunting besar, listrik, gunting listrik, injektor untuk motor, inkubator untuk telor, instalasi kondensasi, batang penggerak untuk mesin dan motor, instalasi pcnyaring, jangkar kecil otomatis untuk keperluan kelutan, jembatan golong, kabel pengendali untuk mesin atau motor, kap (bagian mesin), katup engsel (bagian dan mesin), katup tekanan (bagian-bagian mesin), kelebut sepatu (bagian-bagian mesin), kempa rotasi pencetak, kempa uap rotary, kepala bor (bagian mesin), keran kuras, kerangka (bagian mesin), kereta untuk mesin rajut, ketel air (bagian mesin), ketel mesin uap, kilang beton (meisn-mesin, kipas untuk mendesak, kipas untuk motor dan mesin, komposisi foto, kompresor, kompresor (mesin-mesin), kompresor turbo, kompresor untuk lemari es, kondensor (uap) bagian-bagian mesin, kondensor udara (bagian mesin), konverter untuk pabrik baja, kopeling selain untuk kendaraan darat, mesin pemotong batu bara, kopeling silang (kopeling kardan), kopling poros (mesin), kotak untuk cetakan bagian dari mesin, kotak untuk cetakan tuang (percetakan), kumparan (bagjan-bagian mesin), kursi gantung (bagian mesin) garu, lift, mesin pembuat disain timbul, listrik, listrik pistol penyemprot cat, magnet penyala, magnet penyala untuk motor listrik, mangkok penyedot untuk: mesin pemerah susu, mangku sedotan untuk mesin pemerah susu, mangkuk pembentuk putting, mata bajak, mcsin gunting untuk hewan, mcsin penuai dan penembah, meisn penabur, tombak termisi (mesin), meja putar pembuat keramik, meja tempat mesin, meja, untuk mesin, mekanis, mekanisme gaya dorong selain untuk kendaraan darat, mekanisme kemudi untuk mesin atau -motor, mengempa dan mengangkut biji-bijian, mengisap dan menyalurkan padi-padian, menyedot dan mengangkut gas, menyedot dan rnenyalurkan biji-bijian, mesin bajak selokan (bajak), mesin pembagi, mesin bar lubang lap, mesin cetak, mesin cetak untuk digunakan pada logam lembaran, mesin cuci yang dijalankan dengan memasukan uang logam kedalamnya, Mesin dan mesin perkakas; motor, kecuali motor untuk kendaraan darat; motor listrik; kopling dan sabuk transmisi, kecuali untuk kendaraan darat; generator listrik; alternator; kopling selain untuk kendaraan darat; dinamo., mesin dan motor hidrolik, mesin fisik, mesin frais, mesin giling jalan, mesin giling uap, mesin hembus untuk kompresi, pembuangan, dan pengangkutan gas, mesin jahit, mesin jet selain untuk kendaiaan darat, mesin kerek, mesin kertas, mesin ketam, mesin klise, mesin listrik untuk rumah tangga, mesin nuklir, mesin palu, mesin pcnyaring, mesin pelayanan otomatik (manipulator), mesin pelicin (untuk membuat seperti satin) pengurang tekanan (bagian-bagian mesin), mesin pelobang, mesin pemadat sampah, mesin pemangkas, mesin pemangkas bulu binatang, mesin pembor skrup, mesin pembuat adonan, mesin pembuat barang-barang dari kaca, mesin pembuat bir, mesin pembuat gula, mesin pembuat jalan, mesin pembuat jalan kereta api, mesin pembuat kain wol, pemeras buah, listrik unluk keperluan rumah tangga, mesin pembuat kawat, mesin pembuat kertas: mesin pengupas: pedal kendali injak untuk mesin jahit, mesin pembuat sosis, mesin pembuat tali, mesin pembuat tumit sepatu, mesin pemecah, mesin pemeras cucian: mesin pemintal dan penggulung benang, mesin pemintal, mesin pemotong roti, mesin pemotong, kepala silinder untuk mesin, mesin penarik jala (penangkapan ikan), mesin penarik jala (penangkapan ikan) alat pertukaran kalor (bagian mesin), mesin pencetak, mesin pencuci piring, mesin pencukur bulu binatang, mesin pencunci botol, mesin penebah, mesin pengaduk, mesin pengasah, mesin pengaspalan, mesin pengepakan, mesin penggaruk sampah, Mesin penggilingan tepung, mesin penghembus atau kipas angin untuk memampatkan, mesin penghembus untuk mengepa, mesin penghembus untuk menyedot, mesin penghembus untuk penyedot debu, mesin penghisap debu, mesin pengikat berkas, mesin pengisi botol, mesin pengkilap, mesin pengolah bijih, mesin pengolah makanan, mesin pengumpul endapan ketel, mesin pencuci warna, motor yang bekerja dengan tekanan udara mampat, mesin pengupas, mesin pengupas kulit jagung, mesin pengupas padi-padiian, mesin penjahit buku, mesin penjalin, mesin penjernih air, mesin penuai dan pengikat, mesin penuangan besi, mesin penutup botol, mesin penyapu jalan (bergerak sendiri), mesin penyaring, mesin penyedot untuk keperluan industri, mesin penyegel botol, mesin penyegel untuk keperluan industri, mesin penyetelan, mesin penyosoh jagung dan padi-padian, mesin penyumbat botol, mesin penyusun huruf cetak, mesin penyusun hurufcetak (cetakan), mesin perah susu, mesin peraut sayuran, mesin perbkas, mesin pewarna, mesin pimcampulpengaduk (mesin-mesin), mesin poles selain untuk keperluan rumah tangga, mesin pompa air listrik, mesin pompa air yang menggunakan bahan bakar solar, mesin pompa pembuangan air, alat untuk memberi pupuk pada tanaman, mesin potong uliran, mesin pres pakaian, mesin rokok untuk keperluan industri, mesin selain untuk kendaraan darat, mesin sentrpugal, mesin stempel, mesin stempel uang logam, mesin strikaan, mesin tenun (mesin-mesin), mesin tenun halus, mesin tenun kaos kaki panjang, mesin tipografi, mesin uap, mesin untuk kapal, mesin untuk mencocokan bentuk hingga tepat dan cermat, mesin untuk mengelem pakaian kerekan, mesin untuk pekerjaan batu, mesin untuk pekerjaan tanah, mesin pembuat adonan yang dapat dimakan, mesin yang bekerja dengan tekanan udara mampat, mesin-meisn sentripugal, mesin-mesin bor, mesin-mesin cetak, metriks (bagian mesin), Mesin-mesin dan apa"
4,MBC,D002007003416,2007,Didaftar,25,"Alas kaki; sepatu; kaos kaki; pakaian; jas; kaos oblong; rok; celana panjang; topi; syal., baju kaos, ban pinggang, celana dalam, celana pendek, celana renang, Celana-celana jeans, celana jeans untuk pria, -wanita, -anak-anak, daster, ikat pinggang, jas, kaos oblong, kaos singlet, kemeja, korset, kutang wanita (BH), mantel, pakaian muslim, pakaian renang, pakaian untuk pria, -wanita, -anak-anak, -bayi, pakaian-pakaian, Pakaian; pakaian seragam; pakaian kerja; kaos; kemeja; jaket, piyama, rok, rok dalam, sandal-sandal, sepatu-sepatu"
5,BAILIAN GROUP + LOGO,D002007003418,2007,Didaftar,6,Tabung freon untuk AC (Air Conditioner) dari logam (bukan logam mulia)
6,BIG BANG,D002007003419,2007,Didaftar,9,"Kacamata-kacamata (optik-optik), kacamata hitam-kacamata hitam, Kacamata-Kacamata untuk olahraga-olahraga, kaca-kaca kacamata, bingkai-bingkai kacamata, kotak-kotak kacamata"
7,BIG BANG,D002007003420,2007,Didaftar,18,"Ransel, tas tangan, tas bepergian, koper dan koper pakaian, dompet, kantong-kantong, tempat dan kotak dari kulit atau kulit imitasi, tempat alat rias dan tas untuk alat-alat kecantikan, perangkat bepergian, tas untuk segala kegunaan, dompet uang kertas, tas kantor, tempat kunci, koper, tempat kartu, payung, payung matahari, tongkat untuk jalan"
8,PARAPLEX,D002007003421,2007,Didaftar,1,"Damar-damar buatan dan komposisi damar-damar buatan, plastik-plastik yang belum diproses dalam bentuk bubuk, cairan, zat-zat kimia, emulsi-emulsi, penyebaran dan biji-biji yang digunakan untuk industri, pelembut-pelembut, senyawa-senyawa pembentuk kompresi, damar-damar lekat dan zat-zat kimia lainnya untuk pembentukan, pengepresan dan pencetakan tuang kedalam pembentukan, potongan-potongan atau tuangan-tuangan yang dipress"
9,BIG BANG,D002007003423,2007,Didaftar,16,"Alat-alat tulisan, instrumen-instrumen penulisan, tempat-tempat pensil, tempat-tempat isi pensil, tempat-tempat pulpen dan jepitan-jepitan pulpen, pulpen-pulpen, mata pulpen-mata pulpen, tampat-tempat tinta, kotak-kotak pensil, tempat-tempat tinta, alat-alat tulis, agenda-agenda, katalog-katalog, barang-barang cetakan"
10,LOGO S,D002007003425,2007,Didaftar,21,"Kaleng-kaleng komposite, ialah: wadah-wadah seperti kaleng-kaleng makanan atau kaleng kaleng minyak yang terbuat dari bahan-bahan bukan logam"
